Brand: toyota
Referer header: https://pressroom.toyota.com/
Found 140 image entries across 23 models.

[1/140] 4runner/sr5/front_three_quarter  cached (1042778 bytes)
[2/140] 4runner/sr5/rear_three_quarter  cached (1174704 bytes)
[3/140] 4runner/trd-sport/front_three_quarter  cached (1026017 bytes)
[4/140] 4runner/trd-off-road/front_three_quarter  cached (1584454 bytes)
[5/140] 4runner/limited/front_three_quarter  cached (4220483 bytes)
[6/140] 4runner/limited/rear_three_quarter  cached (4483816 bytes)
[7/140] 4runner/limited/side_profile  cached (5448224 bytes)
[8/140] 4runner/limited/interior_dashboard  cached (4273482 bytes)
[9/140] 4runner/platinum/front_three_quarter  cached (2523529 bytes)
[10/140] 4runner/platinum/rear_three_quarter  cached (1261934 bytes)
[11/140] 4runner/trailhunter/front_three_quarter  cached (5942132 bytes)
[12/140] 4runner/trailhunter/rear_three_quarter  cached (4276739 bytes)
[13/140] 4runner/trailhunter/side_profile  cached (5013380 bytes)
[14/140] 4runner/trailhunter/interior_dashboard  cached (3901708 bytes)
[15/140] 4runner/trd-pro/front_three_quarter  cached (3963379 bytes)
[16/140] 4runner/trd-pro/rear_three_quarter  cached (3400407 bytes)
[17/140] 4runner/trd-pro/side_profile  cached (5751656 bytes)
[18/140] 4runner/trd-pro/interior_dashboard  cached (4974260 bytes)
[19/140] bz/xle/front_three_quarter  cached (3794004 bytes)
[20/140] bz/xle/rear_three_quarter  cached (6850866 bytes)
[21/140] bz/xle/side_profile  cached (5527191 bytes)
[22/140] bz/xle/interior_dashboard  cached (6436179 bytes)
[23/140] bz/limited/front_three_quarter  cached (3794004 bytes)
[24/140] bz-woodland/woodland/front_three_quarter  cached (5487913 bytes)
[25/140] bz-woodland/woodland/rear_three_quarter  cached (6412200 bytes)
[26/140] bz-woodland/woodland/side_profile  cached (5677713 bytes)
[27/140] bz-woodland/woodland/interior_dashboard  cached (4961836 bytes)
[28/140] bz-woodland/woodland-premium/front_three_quarter  cached (4190689 bytes)
[29/140] c-hr/se/front_three_quarter  cached (1930591 bytes)
[30/140] c-hr/se/rear_three_quarter  cached (1497446 bytes)
[31/140] c-hr/se/side_profile  cached (3052043 bytes)
[32/140] c-hr/se/interior_dashboard  cached (6514778 bytes)
[33/140] c-hr/xse/front_three_quarter  cached (3003133 bytes)
[34/140] c-hr/xse/interior_dashboard  cached (2465741 bytes)
[35/140] camry/le/front_three_quarter  cached (3517308 bytes)
[36/140] camry/le/rear_three_quarter  cached (1946400 bytes)
[37/140] camry/le/side_profile  cached (2008995 bytes)
[38/140] camry/le/interior_dashboard  cached (1679955 bytes)
[39/140] camry/se/front_three_quarter  cached (1090227 bytes)
[40/140] camry/se/rear_three_quarter  cached (569020 bytes)
[41/140] camry/se/side_profile  cached (1367615 bytes)
[42/140] camry/se/interior_dashboard  cached (1635466 bytes)
[43/140] camry/nightshade/front_three_quarter  cached (2394098 bytes)
[44/140] camry/nightshade/rear_three_quarter  cached (1279843 bytes)
[45/140] camry/nightshade/side_profile  cached (1875811 bytes)
[46/140] camry/nightshade/interior_dashboard  cached (960477 bytes)
[47/140] camry/xle/front_three_quarter  cached (768377 bytes)
[48/140] camry/xle/rear_three_quarter  cached (1235159 bytes)
[49/140] camry/xle/side_profile  cached (2711986 bytes)
[50/140] camry/xle/interior_dashboard  cached (2147317 bytes)
[51/140] camry/xle-awd/front_three_quarter  cached (1165730 bytes)
[52/140] camry/xse/front_three_quarter  cached (2290375 bytes)
[53/140] camry/xse/rear_three_quarter  cached (2015785 bytes)
[54/140] camry/xse/side_profile  cached (2437270 bytes)
[55/140] camry/xse/interior_dashboard  cached (1679955 bytes)
[56/140] camry/xse-awd/front_three_quarter  cached (1092743 bytes)
[57/140] camry/xse-awd/side_profile  cached (1516592 bytes)
[58/140] corolla/le/front_three_quarter  cached (1982975 bytes)
[59/140] corolla/le/rear_three_quarter  cached (1472580 bytes)
[60/140] corolla/le/side_profile  cached (1113981 bytes)
[61/140] corolla/le/interior_dashboard  cached (2151469 bytes)
[62/140] corolla/xse/front_three_quarter  cached (1452884 bytes)
[63/140] corolla/xse/rear_three_quarter  cached (1982975 bytes)
[64/140] corolla/xse/side_profile  cached (1589097 bytes)
[65/140] corolla/xse/interior_dashboard  cached (1856204 bytes)
[66/140] corolla/hybrid-le/front_three_quarter  cached (1325474 bytes)
[67/140] corolla/hybrid-le/rear_three_quarter  cached (1157614 bytes)
[68/140] corolla/hybrid-le/side_profile  cached (1840749 bytes)
[69/140] corolla/hybrid-le/interior_dashboard  cached (3281587 bytes)
[70/140] corolla/hybrid-se-awd/front_three_quarter  cached (1321063 bytes)
[71/140] corolla-cross/l/front_three_quarter  cached (438327 bytes)
[72/140] corolla-cross/l/rear_three_quarter  cached (4672531 bytes)
[73/140] corolla-cross/xle/front_three_quarter  cached (4508635 bytes)
[74/140] corolla-cross/xle/rear_three_quarter  cached (4493555 bytes)
[75/140] corolla-cross/xle/interior_dashboard  cached (5745096 bytes)
[76/140] corolla-cross/hybrid-s/front_three_quarter  cached (3869645 bytes)
[77/140] corolla-cross/hybrid-s/rear_three_quarter  cached (5228680 bytes)
[78/140] corolla-cross/hybrid-s/interior_dashboard  cached (5559338 bytes)
[79/140] corolla-hatchback/se/front_three_quarter  cached (3997557 bytes)
[80/140] corolla-hatchback/se/rear_three_quarter  cached (5897697 bytes)
[81/140] corolla-hatchback/se/side_profile  cached (5415864 bytes)
[82/140] corolla-hatchback/se/interior_dashboard  cached (2444709 bytes)
[83/140] corolla-hatchback/fx-edition/front_three_quarter  cached (1447735 bytes)
[84/140] crown/xle/front_three_quarter  cached (8492467 bytes)
[85/140] crown/xle/rear_three_quarter  cached (11176655 bytes)
[86/140] crown/xle/side_profile  cached (8703221 bytes)
[87/140] crown/xle/interior_dashboard  cached (7247174 bytes)
[88/140] crown/limited/front_three_quarter  cached (7200079 bytes)
[89/140] crown/nightshade/front_three_quarter  cached (686369 bytes)
[90/140] crown/nightshade/interior_dashboard  cached (1332073 bytes)
[91/140] crown/platinum/front_three_quarter  cached (6426712 bytes)
[92/140] crown/platinum/rear_three_quarter  FAIL (status — HTTP 403 Forbidden)
[93/140] crown/platinum/side_profile  FAIL (status — HTTP 403 Forbidden)
[94/140] crown/platinum/interior_dashboard  cached (7247174 bytes)
[95/140] crown-signia/xle/front_three_quarter  cached (5708771 bytes)
[96/140] crown-signia/xle/rear_three_quarter  cached (7012243 bytes)
[97/140] crown-signia/xle/side_profile  cached (8387678 bytes)
[98/140] crown-signia/xle/interior_dashboard  cached (4418226 bytes)
[99/140] crown-signia/limited/front_three_quarter  cached (893435 bytes)
[100/140] crown-signia/limited/side_profile  cached (7634463 bytes)
[101/140] gr-corolla/core/front_three_quarter  FAIL (wrong-content-type — content-type text/html;charset=utf-8)
[102/140] gr-supra/3-0/front_three_quarter  FAIL (wrong-content-type — content-type text/html;charset=utf-8)
[103/140] gr86/base/front_three_quarter  FAIL (wrong-content-type — content-type text/html;charset=utf-8)
[104/140] grand-highlander/le/front_three_quarter  FAIL (status — HTTP 403 Forbidden)
[105/140] grand-highlander/hybrid-le/front_three_quarter  cached (923038 bytes)
[106/140] grand-highlander/hybrid-max-limited/front_three_quarter  cached (1956155 bytes)
[107/140] highlander/xle/front_three_quarter  cached (7748303 bytes)
[108/140] highlander/xle/rear_three_quarter  cached (1113215 bytes)
[109/140] highlander/xse/front_three_quarter  cached (3061904 bytes)
[110/140] highlander/limited/front_three_quarter  cached (1113215 bytes)
[111/140] highlander/platinum/front_three_quarter  cached (1404712 bytes)
[112/140] highlander/hybrid-xle/front_three_quarter  cached (8072383 bytes)
[113/140] highlander/hybrid-xle/rear_three_quarter  cached (4262055 bytes)
[114/140] land-cruiser/1958/front_three_quarter  cached (9432144 bytes)
[115/140] mirai/xle/front_three_quarter  cached (2651970 bytes)
[116/140] mirai/xle/rear_three_quarter  cached (3432476 bytes)
[117/140] mirai/xle/side_profile  cached (2900804 bytes)
[118/140] mirai/xle/interior_dashboard  cached (3387360 bytes)
[119/140] prius/le/front_three_quarter  cached (5210189 bytes)
[120/140] prius/le/rear_three_quarter  cached (4771735 bytes)
[121/140] prius/le/side_profile  cached (4968628 bytes)
[122/140] prius/le/interior_dashboard  cached (4789026 bytes)
[123/140] prius/xle/front_three_quarter  cached (5210189 bytes)
[124/140] prius/nightshade/front_three_quarter  cached (1632545 bytes)
[125/140] prius/nightshade/rear_three_quarter  cached (1527550 bytes)
[126/140] prius/nightshade/side_profile  FAIL (status — HTTP 403 Forbidden)
[127/140] prius/nightshade/interior_dashboard  cached (832641 bytes)
[128/140] prius/limited/front_three_quarter  cached (5806590 bytes)
[129/140] prius/phev-se/front_three_quarter  cached (1004956 bytes)
[130/140] prius/phev-se/rear_three_quarter  cached (1794505 bytes)
[131/140] prius/phev-se/side_profile  cached (1440488 bytes)
[132/140] prius/phev-se/interior_dashboard  cached (3053295 bytes)
[133/140] prius/phev-nightshade/front_three_quarter  cached (1936359 bytes)
[134/140] prius/phev-nightshade/rear_three_quarter  cached (2021935 bytes)
[135/140] prius/phev-nightshade/side_profile  cached (1440488 bytes)
[136/140] prius/phev-xse-premium/interior_dashboard  cached (3970633 bytes)
[137/140] rav4/hybrid-le/front_three_quarter  cached (8282996 bytes)
[138/140] rav4/hybrid-limited-awd/front_three_quarter  cached (8282996 bytes)
[139/140] rav4/hybrid-woodland-awd/front_three_quarter  cached (5927610 bytes)
[140/140] rav4/phev-gr-sport-awd/front_three_quarter  cached (7702836 bytes)

Updated catalog/data/toyota.json and data/toyota.json with downloaded flags.

========================================
  SUMMARY
========================================
Brand:                  toyota
Total images attempted: 140
Successful:             133 (95.0%)
Failed:                 7

Failed by HTTP status:
  403: 4

Failed by other error kind:
  wrong-content-type: 3

Models with zero successful images: 3 of 23
  - gr-corolla (1 attempted)
  - gr-supra (1 attempted)
  - gr86 (1 attempted)

Failure breakdown (one example per group):
  [status-403] x4 — e.g. https://toyota-cms-media.s3.amazonaws.com/wp-content/uploads/2025/03/2026_Crown_Platinum_BronzeAgeBiTone_004.jpg
  [wrong-content-type (text/html;charset=utf-8)] x3 — e.g. https://www.toyota.com/grcorolla/
